# lon  lat  height  residual_anomaly
-4.892609999999999815e+01 -1.201309999999999967e+01 2.753000000000000114e+02 -9.875252599181749247e+00
-4.858149999999999835e+01 -1.200420000000000087e+01 2.661999999999999886e+02 -4.072693812772811839e+00
-4.857189999999999941e+01 -1.201060000000000016e+01 2.665000000000000000e+02 -4.899630379812204950e+00
-4.855910000000000082e+01 -1.201699999999999946e+01 2.651899999999999977e+02 -6.067406951340270638e+00
-4.832099999999999795e+01 -1.201379999999999981e+01 3.418199999999999932e+02 -5.174575258559286794e+00
-4.829639999999999844e+01 -1.201009999999999955e+01 3.438999999999999773e+02 -6.864104473033819431e+00
-4.853580000000000183e+01 -1.202360000000000007e+01 2.378100000000000023e+02 -5.503702804896803968e+00
-4.836610000000000298e+01 -1.203909999999999947e+01 3.114599999999999795e+02 -2.926956336339010534e-01
-4.834309999999999974e+01 -1.202549999999999919e+01 3.183600000000000136e+02 -2.450597989557028455e+00
-4.747670000000000101e+01 -1.203250000000000064e+01 3.248899999999999864e+02 9.053390189593017112e+00
-4.853659999999999997e+01 -1.204920000000000080e+01 2.489699999999999989e+02 -4.536159018063809611e+00
-4.836529999999999774e+01 -1.204010000000000069e+01 3.104200000000000159e+02 -8.798457212516410664e-01
-4.853340000000000032e+01 -1.207729999999999926e+01 2.527700000000000102e+02 -9.395154530811495874e-01
-4.838250000000000028e+01 -1.206129999999999924e+01 3.098299999999999841e+02 5.003946916815138479e-02
-4.744200000000000017e+01 -1.206179999999999986e+01 3.421000000000000227e+02 6.665311856592609274e+00
-4.842240000000000322e+01 -1.208619999999999983e+01 2.534300000000000068e+02 1.185830121397465575e+00
-4.841929999999999978e+01 -1.208419999999999916e+01 2.515600000000000023e+02 2.232715400400060446e-01
-4.812060000000000315e+01 -1.209050000000000047e+01 3.154399999999999977e+02 3.680514826102864845e+00
-4.810309999999999775e+01 -1.209249999999999936e+01 3.294700000000000273e+02 5.646415878562727642e+00
-4.808579999999999899e+01 -1.209810000000000052e+01 3.578199999999999932e+02 7.326135119918596672e+00
-4.843050000000000210e+01 -1.210829999999999984e+01 2.963000000000000114e+02 4.014554712057893937e-01
-4.815409999999999968e+01 -1.211689999999999934e+01 3.580799999999999841e+02 2.231715339610907733e+00
-4.812939999999999685e+01 -1.211030000000000051e+01 3.409100000000000250e+02 3.025411125833706194e+00
-4.808030000000000115e+01 -1.211059999999999981e+01 3.702900000000000205e+02 8.529815281006939642e+00
-4.807970000000000255e+01 -1.210999999999999943e+01 3.702900000000000205e+02 8.562571832063255783e+00
-4.853340000000000032e+01 -1.212049999999999983e+01 2.527899999999999920e+02 -3.093271896940308352e-01
-4.843419999999999703e+01 -1.213470000000000049e+01 2.606299999999999955e+02 1.421083442910511252e+00
-4.816449999999999676e+01 -1.213530000000000086e+01 3.293600000000000136e+02 2.661747762680022333e+00
-4.807809999999999917e+01 -1.213339999999999996e+01 3.935400000000000205e+02 9.574753805820179764e+00
-4.742260000000000275e+01 -1.212669999999999959e+01 3.713999999999999773e+02 -5.926442284190471810e+00
-4.854160000000000252e+01 -1.215729999999999933e+01 2.629499999999999886e+02 -4.638198612317125935e-01
-4.853009999999999735e+01 -1.215000000000000036e+01 2.626100000000000136e+02 -4.218009959449240398e-01
-4.849770000000000181e+01 -1.215770000000000017e+01 2.467599999999999909e+02 6.812552925875579035e-01
-4.844550000000000267e+01 -1.215310000000000024e+01 2.566600000000000250e+02 1.260727117241639661e+00
-4.827629999999999910e+01 -1.215499999999999936e+01 3.279399999999999977e+02 -2.141874284452988775e+00
-4.825139999999999674e+01 -1.215690000000000026e+01 3.402900000000000205e+02 -2.483471733723924046e+00
-4.822720000000000340e+01 -1.215670000000000073e+01 3.769200000000000159e+02 -2.921862503727794547e-01
-4.819689999999999941e+01 -1.215970000000000084e+01 3.462799999999999727e+02 2.438414697635693074e+00
-4.806860000000000355e+01 -1.214390000000000036e+01 3.651899999999999977e+02 1.067626413428859422e+01
-4.739789999999999992e+01 -1.215310000000000024e+01 3.746700000000000159e+02 -9.006769352324880629e+00
-4.855279999999999774e+01 -1.217919999999999980e+01 2.721399999999999864e+02 -2.553677397752665001e-01
-4.842779999999999774e+01 -1.216590000000000060e+01 2.756499999999999773e+02 1.532872735268028919e+00
-4.829789999999999850e+01 -1.216559999999999953e+01 3.419599999999999795e+02 -1.709769171006207955e+00
-4.820889999999999986e+01 -1.216290000000000049e+01 3.572099999999999795e+02 1.904356437683347281e+00
-4.819749999999999801e+01 -1.216060000000000052e+01 3.462799999999999727e+02 2.381076120631220761e+00
-4.804879999999999995e+01 -1.216649999999999920e+01 3.789599999999999795e+02 1.144297065171138428e+01
-4.802139999999999986e+01 -1.217950000000000088e+01 3.729800000000000182e+02 1.247180698883124705e+01
-4.855310000000000059e+01 -1.218249999999999922e+01 2.728399999999999750e+02 -3.256627479013474158e-02
-4.840599999999999881e+01 -1.218120000000000047e+01 2.891600000000000250e+02 -6.002831186964421306e-01
-4.838289999999999935e+01 -1.218560000000000088e+01 3.061800000000000068e+02 -2.797508281682166142e+00
-4.836059999999999803e+01 -1.218590000000000018e+01 3.131700000000000159e+02 -1.273569088913227176e+00
-4.833389999999999986e+01 -1.218590000000000018e+01 3.093299999999999841e+02 -3.258702876367948420e+00
-4.831459999999999866e+01 -1.218040000000000056e+01 3.353100000000000023e+02 -1.037473677715681220e+00
-4.726330000000000098e+01 -1.219950000000000045e+01 3.948799999999999955e+02 5.647127945459544662e+00
-4.719360000000000355e+01 -1.219810000000000016e+01 3.909399999999999977e+02 3.254172718779088314e+00
-4.716960000000000264e+01 -1.219379999999999953e+01 3.868899999999999864e+02 4.640215057043093339e+00
-4.714470000000000027e+01 -1.218919999999999959e+01 3.901399999999999864e+02 3.641228169993695474e+00
-4.709279999999999688e+01 -1.219929999999999914e+01 3.787699999999999818e+02 2.929384473582828718e+00
-4.856300000000000239e+01 -1.220599999999999952e+01 2.823299999999999841e+02 -5.624345435508075752e-01
-4.801659999999999684e+01 -1.220170000000000066e+01 4.162099999999999795e+02 1.403147706189436406e+01
-4.752640000000000242e+01 -1.221410000000000018e+01 3.715000000000000000e+02 -1.661950819830211401e+01
-4.750019999999999953e+01 -1.221189999999999998e+01 3.793999999999999773e+02 -1.612236754476445810e+01
-4.747780000000000200e+01 -1.221780000000000044e+01 3.698399999999999750e+02 -1.594169408651177378e+01
-4.735640000000000072e+01 -1.220340000000000025e+01 4.222400000000000091e+02 -3.848745112732814277e-01
-4.729059999999999775e+01 -1.221429999999999971e+01 3.972400000000000091e+02 2.455955953620446053e+00
-4.723910000000000053e+01 -1.221260000000000012e+01 4.353000000000000114e+02 8.368610278418543658e+00
-4.721439999999999770e+01 -1.220480000000000054e+01 4.018600000000000136e+02 2.700634168436209848e+00
-4.706609999999999872e+01 -1.220609999999999928e+01 3.904200000000000159e+02 -1.312941902042496167e+00
-4.704339999999999833e+01 -1.221889999999999965e+01 3.922799999999999727e+02 -1.130858791030618704e+00
-4.857330000000000325e+01 -1.222920000000000051e+01 2.656899999999999977e+02 -2.301157858016829039e-01
-4.801619999999999777e+01 -1.222610000000000063e+01 4.358199999999999932e+02 1.293453395083863455e+01
-4.756040000000000134e+01 -1.223300000000000054e+01 3.870899999999999750e+02 -1.831175078537546597e+01
-4.754220000000000113e+01 -1.222279999999999944e+01 3.853700000000000045e+02 -1.711698942865020001e+01
-4.745439999999999969e+01 -1.222749999999999915e+01 4.028299999999999841e+02 -1.457640545834530599e+01
-4.740550000000000352e+01 -1.222320000000000029e+01 3.899200000000000159e+02 -8.326274405010622104e+00
-4.738669999999999760e+01 -1.222589999999999932e+01 4.330799999999999841e+02 -3.704947664921164119e+00
-4.736110000000000042e+01 -1.222669999999999924e+01 4.541800000000000068e+02 -1.187219770029102506e+00
-4.733829999999999671e+01 -1.223140000000000072e+01 4.090400000000000205e+02 2.034176791457696254e+00
-4.731580000000000297e+01 -1.222780000000000022e+01 3.950500000000000114e+02 1.948879821278794111e+00
-4.729339999999999833e+01 -1.222359999999999935e+01 4.219100000000000250e+02 2.487148153138065254e+00
-4.702170000000000272e+01 -1.223129999999999917e+01 4.258500000000000227e+02 -2.531987144017620039e+00
-4.858339999999999748e+01 -1.225249999999999950e+01 2.659499999999999886e+02 -3.747935369822350538e-01
-4.801310000000000144e+01 -1.224670000000000059e+01 5.102300000000000182e+02 1.141012941467916164e+01
-4.799889999999999901e+01 -1.225500000000000078e+01 4.364200000000000159e+02 1.173504917684574878e+01
-4.769109999999999872e+01 -1.225779999999999959e+01 3.263299999999999841e+02 -2.021430997122436679e+00
-4.766870000000000118e+01 -1.225409999999999933e+01 3.388199999999999932e+02 -3.644132708511293117e+00
-4.765090000000000003e+01 -1.225280000000000058e+01 3.649100000000000250e+02 -6.961033121036564353e+00
