# lon lat y[km] x[km] height[m] free_air bouguer
-51.7442 -16.0056 28.3219389999999 54.866118 354.37 15.5252 -24.1288
-51.7803 -15.9877 24.3108680000002 56.8549870000001 363.59 10.1856 -30.5001
-51.4075 -15.9825 65.732676 57.4327590000002 335 22.61 -14.77
-51.7047 -15.9807 32.7107839999996 57.6327570000001 339.38 13.2286 -24.748
-51.4747 -15.9763 58.266084 58.1216410000001 427.86 13.7535 -34.124
-51.4215 -15.9676 64.1771359999996 59.0882980000003 379 23.27 -19.03
-51.4998 -15.9617 55.4772229999998 59.7438470000001 394.1 10.2516 -33.8482
-51.7215 -15.9473 30.844136 61.3438310000001 336.1 9.7791 -27.8305
-51.7901 -15.9422 23.2219899999996 61.9104920000002 339.29 1.8465 -36.12
-51.5499 -15.9324 49.9106119999997 62.9993700000002 337.02 26.28 -11.34
-51.5581 -15.9296 48.9995099999995 63.3104780000001 342.82 29.6358 -8.7258
-51.7378 -15.9159 29.0330429999998 64.8326850000001 348.7 11.1921 -27.8274
-51.419 -15.9142 64.4549110000002 65.0215720000002 326 13.38 -22.96
-51.6032 -15.8921 43.9884489999997 67.4771030000002 339.75 33.62 -4.31
-51.7972 -15.8918 22.4331090000002 67.5104360000002 330.7 15.63 -21.27
-51.4428 -15.8883 61.810493 67.8993210000002 322.3 11.74 -24.24
-51.8547 -15.8875 16.0442839999997 67.9882090000002 292.88 8.13 -24.56
-51.5733 -15.8866 47.3106379999995 68.0882080000002 324.4 46.51 10.29
-51.7155 -15.8821 31.510796 68.5882030000002 326.24 16.78 -19.64
-51.6622 -15.8757 37.432959 69.2993070000001 327.42 29.33 -7.21
-51.5207 -15.8746 53.1550240000001 69.4215280000003 340 23.97 -13.98
-51.6351 -15.8705 40.4440399999997 69.8770790000002 303.8 34.81 0.9
-51.732 -15.8698 29.6774809999999 69.9548560000002 335.99 20.6594 -16.9379
-51.5498 -15.8695 49.9217230000001 69.9881890000001 300.12 40.63 7.13
-51.577 -15.8657 46.899531 70.4104070000001 334.67 60.12 22.76
-51.6038 -15.8563 43.9217829999999 71.4548410000002 336 53.65 16.14
-51.6522 -15.8524 38.5440589999998 71.8881700000002 303.08 34.02 0.19
-51.7959 -15.8513 22.5775519999995 72.0103910000001 322.92 19.2231 -16.9116
-51.6224 -15.8503 41.855137 72.1215010000001 342.03 48.25 10.06
-51.8293 -15.8473 18.8664779999995 72.4548310000001 302.73 11.372 -22.5035
-51.53 -15.8386 52.1217009999997 73.4214880000002 303.63 33.94 0.06
-51.841 -15.8366 17.5664909999997 73.6437080000001 297.65 11.7211 -21.586
-51.663 -15.8348 37.3440710000002 73.8437060000002 315.46 38.26 3.05
-51.5934 -15.8343 45.0773269999995 73.8992610000001 335.4 61.9 24.45
-51.4242 -15.8284 63.877139 74.5548100000001 341.09 14.8448 -23.3232
-51.5696 -15.8263 47.7217449999997 74.7881410000002 328.19 47.02 10.38
-51.6726 -15.8175 36.2774149999995 75.7659090000001 334.76 54 16.63
-51.5927 -15.8156 45.1551039999998 75.9770180000002 325 64.65 28.37
-51.6577 -15.8114 37.932954 76.4436800000001 332 65.39 28.33
-51.8118 -15.7998 20.8109030000001 77.7325560000002 309.51 15.9116 -18.7226
-51.5916 -15.7911 45.2773249999999 78.6992130000001 315 73.05 37.88
-51.6494 -15.7908 38.8551669999998 78.7325460000001 328.05 80.62 43.99
-51.6345 -15.7888 40.5107059999995 78.9547660000001 316.75 81.78 46.41
-51.5747 -15.779 47.1550839999998 80.0436440000002 297.1 39.69 6.53
-51.6884 -15.7775 34.5218769999997 80.2103090000002 328 50.7 14.09
-51.6497 -15.7755 38.8218339999995 80.4325290000002 324.59 75.54 39.3
-51.6059 -15.7661 43.688452 81.4769630000002 314.15 74.57 39.5
-51.6469 -15.7585 39.1329419999996 82.3213990000002 314.38 60.28 25.19
-51.418 -15.7571 64.5660209999999 82.4769530000002 341 16.76 -21.31
-51.5965 -15.7544 44.732886 82.7769500000001 317.52 52.53 17.08
-51.821 -15.7522 19.7886910000001 83.0213920000001 308.22 12.6594 -21.8304
-51.5792 -15.7495 46.6550889999998 83.3213890000002 297.46 40.4461 7.1603
-51.6766 -15.7486 35.8329749999998 83.4213880000002 321.56 49.94 14.04
-51.4587 -15.7401 60.0438439999998 84.3658230000002 328.87 16.86 -19.86
-51.6196 -15.7393 42.166245 84.4547110000001 310 41.19 6.58
-51.7807 -15.7371 24.2664239999995 84.6991530000002 290.56 18.2607 -14.253
-51.8338 -15.7295 18.3664830000002 85.5435890000002 303 6.39 -27.44
-51.8355 -15.7288 18.1775959999995 85.6213660000002 302.99 6.8273 -27.0773
-51.6715 -15.7287 36.3996359999996 85.6324770000002 305.6 32.87 -1.25
-51.6299 -15.7084 41.0218119999999 87.8880100000002 308 27.12 -7.26
-51.5591 -15.7047 48.8883999999997 88.2991170000001 283.15 22.8879 -8.7966
-51.4095 -15.6999 65.5104559999997 88.8324450000002 350.81 14.7633 -24.4923
-51.4955 -15.6834 55.9549959999999 90.6657600000001 315.19 14.2 -20.99
-51.6378 -15.6817 40.144043 90.8546470000002 308 20.7 -13.69
-51.7079 -15.6774 32.3552319999996 91.3324200000001 293.56 29.43 -3.34
-51.8383 -15.6727 17.8664880000002 91.8546370000001 350 8.4 -30.68
-51.5786 -15.6684 46.7217549999997 92.3324100000001 293.93 21.0386 -11.8521
