# lon  lat  height  gz
-4.863221740722656250e+01 -1.371136760711669922e+01 6.164841871790256391e+02 -6.093766722344510001e+00
-4.859141921997070312e+01 -1.371136760711669922e+01 6.725347797474836398e+02 -3.128459846239878939e+00
-4.855062103271484375e+01 -1.371136760711669922e+01 6.403988467138526630e+02 -2.251025614811763553e+00
-4.850982284545898438e+01 -1.371136760711669922e+01 6.142667216556812946e+02 -1.304989392137926751e+00
-4.846902465820312500e+01 -1.371136760711669922e+01 5.494996709477811692e+02 -1.013983496585611732e+01
-4.842822647094726562e+01 -1.371136760711669922e+01 5.335646367855424614e+02 -1.035058656765924745e+01
-4.838742828369140625e+01 -1.371136760711669922e+01 5.471578317053271121e+02 -1.609098783776176322e+00
-4.834663009643554688e+01 -1.371136760711669922e+01 6.697251169312112324e+02 -6.397767115126445248e+00
-4.830583190917968750e+01 -1.371136760711669922e+01 7.965245644632907442e+02 -1.242590811771685466e+01
-4.826503372192382812e+01 -1.371136760711669922e+01 8.132405228205525418e+02 -1.462217762203691684e+01
-4.822423553466796875e+01 -1.371136760711669922e+01 7.269984883310870600e+02 -1.396760481740749960e+01
-4.818343734741210938e+01 -1.371136760711669922e+01 6.716173152859702213e+02 -1.319900198657925827e+01
-4.814263916015625000e+01 -1.371136760711669922e+01 6.294354144702106169e+02 -1.236023929439754099e+01
-4.810184097290039062e+01 -1.371136760711669922e+01 5.959078429345137238e+02 -1.145672352606988476e+01
-4.806104278564453125e+01 -1.371136760711669922e+01 5.724693867955063524e+02 -1.050141420099725131e+01
-4.802024459838867188e+01 -1.371136760711669922e+01 5.615967639368201390e+02 -9.634454208852282875e+00
-4.797944641113281250e+01 -1.371136760711669922e+01 5.603024463912782949e+02 -9.037410224516220225e+00
-4.863221740722656250e+01 -1.367072010040283203e+01 6.221688696450138423e+02 -6.508637301511226880e+00
-4.859141921997070312e+01 -1.367072010040283203e+01 6.561033506577213075e+02 -4.476402427385328231e+00
-4.855062103271484375e+01 -1.367072010040283203e+01 6.333614999664948755e+02 -2.327308724590666511e+00
-4.850982284545898438e+01 -1.367072010040283203e+01 6.103486789590310764e+02 -5.888368124958499594e-01
-4.846902465820312500e+01 -1.367072010040283203e+01 5.863574438895220737e+02 -1.203235990174519543e+00
-4.842822647094726562e+01 -1.367072010040283203e+01 5.634458706954241052e+02 -2.798352781315328830e+00
-4.838742828369140625e+01 -1.367072010040283203e+01 5.645637035733124094e+02 -5.901535953380851574e+00
-4.834663009643554688e+01 -1.367072010040283203e+01 6.269677363224519695e+02 -6.427706517589364843e+00
-4.830583190917968750e+01 -1.367072010040283203e+01 7.140247410447751690e+02 -1.041139957289057882e+01
-4.826503372192382812e+01 -1.367072010040283203e+01 7.373944587250301765e+02 -1.403223954846624189e+01
-4.822423553466796875e+01 -1.367072010040283203e+01 6.657877207152590699e+02 -1.417950975025439320e+01
-4.818343734741210938e+01 -1.367072010040283203e+01 6.123749238594865574e+02 -1.359889535914458492e+01
-4.814263916015625000e+01 -1.367072010040283203e+01 5.769740985353105316e+02 -1.281519187075573285e+01
-4.810184097290039062e+01 -1.367072010040283203e+01 5.530511677668923767e+02 -1.183018313551763789e+01
-4.806104278564453125e+01 -1.367072010040283203e+01 5.405663588915994069e+02 -1.059884391183654628e+01
-4.802024459838867188e+01 -1.367072010040283203e+01 5.402821056788517353e+02 -9.211811090611853103e+00
-4.797944641113281250e+01 -1.367072010040283203e+01 5.502978434953913620e+02 -7.992147514359408511e+00
-4.863221740722656250e+01 -1.363007259368896484e+01 5.864702016016992729e+02 -7.645319535689874435e+00
-4.859141921997070312e+01 -1.363007259368896484e+01 6.063334431176873522e+02 -4.945560028695889621e+00
-4.855062103271484375e+01 -1.363007259368896484e+01 6.038620988479867719e+02 -1.758988271938374259e+00
-4.850982284545898438e+01 -1.363007259368896484e+01 5.854572318359336123e+02 7.423893102073627626e-01
-4.846902465820312500e+01 -1.363007259368896484e+01 5.658806682585388899e+02 2.458079143817273327e+00
-4.842822647094726562e+01 -1.363007259368896484e+01 5.476420510450367374e+02 3.482736116290873873e+00
